taluk,year,month,monthly_rainfall,target_category
brahmavar,2020,1,1.29,Deficit
brahmavar,2020,2,3.77,Deficit
brahmavar,2020,3,6.13,Deficit
brahmavar,2020,4,52.25,Normal
brahmavar,2020,5,136.74,Deficit
brahmavar,2020,6,949.91,Normal
brahmavar,2020,7,1101.43,Normal
brahmavar,2020,8,1056.93,Normal
brahmavar,2020,9,648.52,Excess
brahmavar,2020,10,225.52,Normal
brahmavar,2020,11,35.4,Deficit
brahmavar,2020,12,17.07,Normal
brahmavar,2021,1,25.97,Normal
brahmavar,2021,2,4.82,Deficit
brahmavar,2021,3,13.91,Deficit
brahmavar,2021,4,68.75,Normal
brahmavar,2021,5,275.84,Normal
brahmavar,2021,6,845.4399999999999,Normal
brahmavar,2021,7,1172.4,Normal
brahmavar,2021,8,706.3299999999999,Normal
brahmavar,2021,9,255.83,Normal
brahmavar,2021,10,322.72,Normal
brahmavar,2021,11,234.26,Excess
brahmavar,2021,12,3.63,Deficit
brahmavar,2022,1,0.31,Deficit
brahmavar,2022,2,0.08,Deficit
brahmavar,2022,3,32.17,Normal
brahmavar,2022,4,72.51,Normal
brahmavar,2022,5,354.86,Normal
brahmavar,2022,6,770.36,Normal
brahmavar,2022,7,1334.9,Normal
brahmavar,2022,8,1111.31,Normal
brahmavar,2022,9,396.44,Normal
brahmavar,2022,10,125.37,Normal
brahmavar,2022,11,44.64,Normal
brahmavar,2022,12,36.12,Normal
brahmavar,2023,1,1.3599999999999999,Deficit
brahmavar,2023,2,0.66,Deficit
brahmavar,2023,3,2.9499999999999997,Deficit
brahmavar,2023,4,12.41,Deficit
brahmavar,2023,5,73.26,Deficit
brahmavar,2023,6,480.12,Deficit
brahmavar,2023,7,1687.59,Normal
brahmavar,2023,8,187.88,Deficit
brahmavar,2023,9,268.43,Normal
brahmavar,2023,10,142.99,Normal
brahmavar,2023,11,143.35,Normal
brahmavar,2023,12,19.64,Normal
brahmavar,2024,1,16.02,Normal
brahmavar,2024,2,0.13,Deficit
brahmavar,2024,3,3.48,Deficit
brahmavar,2024,4,24.92,Deficit
brahmavar,2024,5,234.12,Normal
brahmavar,2024,6,1091.13,Normal
brahmavar,2024,7,1637.09,Normal
brahmavar,2024,8,840.9,Normal
brahmavar,2024,9,311.31,Normal
brahmavar,2024,10,243.5,Normal
brahmavar,2024,11,38.85,Deficit
brahmavar,2024,12,89.39,Excess
brahmavar,2025,1,0.83,Deficit
brahmavar,2025,2,3.81,Deficit
brahmavar,2025,3,19.37,Deficit
brahmavar,2025,4,100.25999999999999,Excess
brahmavar,2025,5,685.64,Excess
brahmavar,2025,6,1028.38,Normal
brahmavar,2025,7,1414.17,Normal
brahmavar,2025,8,1167.39,Normal
brahmavar,2025,9,152.65,Deficit
brahmavar,2025,10,323.76,Normal
brahmavar,2025,11,28.16,Deficit
brahmavar,2025,12,5.02,Deficit
brahmavar,2026,1,9.98,Deficit
brahmavar,2026,2,0.6000000000000001,Deficit
byndoor,2020,1,3.7800000000000002,Deficit
byndoor,2020,2,2.83,Deficit
byndoor,2020,3,6.01,Deficit
byndoor,2020,4,40.199999999999996,Normal
byndoor,2020,5,109.66,Deficit
byndoor,2020,6,972.54,Normal
byndoor,2020,7,1281.41,Normal
byndoor,2020,8,1266.73,Normal
byndoor,2020,9,777.1,Excess
byndoor,2020,10,261.25,Normal
byndoor,2020,11,19.31,Deficit
byndoor,2020,12,18.54,Normal
byndoor,2021,1,35.839999999999996,Excess
byndoor,2021,2,8.02,Deficit
byndoor,2021,3,10.229999999999999,Deficit
byndoor,2021,4,58.550000000000004,Normal
byndoor,2021,5,330.2,Normal
byndoor,2021,6,1085.16,Normal
byndoor,2021,7,1324.79,Normal
byndoor,2021,8,646.54,Normal
byndoor,2021,9,286.57,Normal
byndoor,2021,10,272.1,Normal
byndoor,2021,11,265.48,Excess
byndoor,2021,12,16.01,Normal
byndoor,2022,1,2.82,Deficit
byndoor,2022,2,0.92,Deficit
byndoor,2022,3,19.779999999999998,Deficit
byndoor,2022,4,45.94,Normal
byndoor,2022,5,371.44,Normal
byndoor,2022,6,748.66,Normal
byndoor,2022,7,1589.8,Normal
byndoor,2022,8,1182.65,Normal
byndoor,2022,9,451.67,Normal
byndoor,2022,10,105.11,Deficit
byndoor,2022,11,34.33,Deficit
byndoor,2022,12,55.99,Normal
byndoor,2023,1,3.41,Deficit
byndoor,2023,2,1.1600000000000001,Deficit
byndoor,2023,3,2.39,Deficit
byndoor,2023,4,9.14,Deficit
byndoor,2023,5,66.81,Deficit
byndoor,2023,6,546.22,Deficit
byndoor,2023,7,1816.96,Excess
byndoor,2023,8,202.98,Deficit
byndoor,2023,9,244.07,Normal
byndoor,2023,10,103.36,Deficit
byndoor,2023,11,107.11,Normal
byndoor,2023,12,19.740000000000002,Normal
byndoor,2024,1,23.38,Normal
byndoor,2024,2,0.88,Deficit
byndoor,2024,3,2.19,Deficit
byndoor,2024,4,23.91,Deficit
byndoor,2024,5,213.59,Normal
byndoor,2024,6,1360.42,Excess
byndoor,2024,7,2083.49,Excess
byndoor,2024,8,1004.6800000000001,Normal
byndoor,2024,9,289.06,Normal
byndoor,2024,10,273.01,Normal
byndoor,2024,11,23.580000000000002,Deficit
byndoor,2024,12,52.55,Normal
byndoor,2025,1,9.87,Deficit
byndoor,2025,2,3.01,Deficit
byndoor,2025,3,14.37,Deficit
byndoor,2025,4,56.53,Normal
byndoor,2025,5,715.79,Excess
byndoor,2025,6,916.19,Normal
byndoor,2025,7,1567.54,Normal
byndoor,2025,8,1222.46,Normal
byndoor,2025,9,180.17,Deficit
byndoor,2025,10,245.45000000000002,Normal
byndoor,2025,11,18.520000000000003,Deficit
byndoor,2025,12,7.44,Deficit
byndoor,2026,1,14.47,Normal
byndoor,2026,2,0.49,Deficit
hebri,2020,1,4.49,Deficit
hebri,2020,2,6.82,Deficit
hebri,2020,3,16.27,Deficit
hebri,2020,4,120.74,Excess
hebri,2020,5,235.42,Normal
hebri,2020,6,1266.73,Excess
hebri,2020,7,1448.47,Normal
hebri,2020,8,1580.03,Excess
hebri,2020,9,894.03,Excess
hebri,2020,10,273.71,Normal
hebri,2020,11,59.43,Normal
hebri,2020,12,38.31,Normal
hebri,2021,1,62.33,Excess
hebri,2021,2,12.14,Normal
hebri,2021,3,35.81,Normal
hebri,2021,4,171.12,Excess
hebri,2021,5,408.74,Normal
hebri,2021,6,1099.39,Normal
hebri,2021,7,1664.43,Normal
hebri,2021,8,885.33,Normal
hebri,2021,9,356.02,Normal
hebri,2021,10,509.8,Excess
hebri,2021,11,378.2,Excess
hebri,2021,12,17.479999999999997,Normal
hebri,2022,1,3.38,Deficit
hebri,2022,2,1.31,Deficit
hebri,2022,3,63.620000000000005,Excess
hebri,2022,4,156.82,Excess
hebri,2022,5,515.79,Excess
hebri,2022,6,1019.08,Normal
hebri,2022,7,1857.59,Excess
hebri,2022,8,1625.6200000000001,Excess
hebri,2022,9,539.26,Normal
hebri,2022,10,222.07,Normal
hebri,2022,11,68.99,Normal
hebri,2022,12,67.52,Excess
hebri,2023,1,7.42,Deficit
hebri,2023,2,2.26,Deficit
hebri,2023,3,7.07,Deficit
hebri,2023,4,33.07,Deficit
hebri,2023,5,155.68,Normal
hebri,2023,6,688.23,Normal
hebri,2023,7,2208.32,Excess
hebri,2023,8,261.05,Deficit
hebri,2023,9,350.92,Normal
hebri,2023,10,255.07999999999998,Normal
hebri,2023,11,234.99,Excess
hebri,2023,12,50.71,Normal
hebri,2024,1,35.14,Excess
hebri,2024,2,1.3,Deficit
hebri,2024,3,8.32,Deficit
hebri,2024,4,63.06,Normal
hebri,2024,5,363.79,Normal
hebri,2024,6,1376.59,Excess
hebri,2024,7,2117.94,Excess
hebri,2024,8,1204.17,Normal
hebri,2024,9,391.46000000000004,Normal
hebri,2024,10,368.05,Excess
hebri,2024,11,72.02,Normal
hebri,2024,12,145.22,Excess
hebri,2025,1,7.52,Deficit
hebri,2025,2,5.96,Deficit
hebri,2025,3,55.27,Excess
hebri,2025,4,217.52,Excess
hebri,2025,5,848.62,Excess
hebri,2025,6,1311.71,Excess
hebri,2025,7,1631.24,Normal
hebri,2025,8,1666.58,Excess
hebri,2025,9,211.14000000000001,Normal
hebri,2025,10,504.6,Excess
hebri,2025,11,49.47,Normal
hebri,2025,12,19.5,Normal
hebri,2026,1,30.44,Excess
hebri,2026,2,1.27,Deficit
kapu,2020,1,1.46,Deficit
kapu,2020,2,4.09,Deficit
kapu,2020,3,6.39,Deficit
kapu,2020,4,49.59,Normal
kapu,2020,5,136.96,Deficit
kapu,2020,6,915.84,Normal
kapu,2020,7,1101.52,Normal
kapu,2020,8,1013.36,Normal
kapu,2020,9,632.36,Excess
kapu,2020,10,219.60999999999999,Normal
kapu,2020,11,33.56,Deficit
kapu,2020,12,16.29,Normal
kapu,2021,1,24.31,Normal
kapu,2021,2,4.7,Deficit
kapu,2021,3,13.360000000000001,Deficit
kapu,2021,4,67.71000000000001,Normal
kapu,2021,5,274.41,Normal
kapu,2021,6,812.47,Normal
kapu,2021,7,1174.13,Normal
kapu,2021,8,747.54,Normal
kapu,2021,9,244.37,Normal
kapu,2021,10,317.54,Normal
kapu,2021,11,233.21,Excess
kapu,2021,12,4.03,Deficit
kapu,2022,1,0.54,Deficit
kapu,2022,2,0.14,Deficit
kapu,2022,3,30.080000000000002,Normal
kapu,2022,4,72.69,Normal
kapu,2022,5,340.33,Normal
kapu,2022,6,743.7,Normal
kapu,2022,7,1316.19,Normal
kapu,2022,8,1064.1200000000001,Normal
kapu,2022,9,379.19,Normal
kapu,2022,10,117.02,Deficit
kapu,2022,11,43.81,Normal
kapu,2022,12,37.83,Normal
kapu,2023,1,1.26,Deficit
kapu,2023,2,0.64,Deficit
kapu,2023,3,3.01,Deficit
kapu,2023,4,11.79,Deficit
kapu,2023,5,72.48,Deficit
kapu,2023,6,472.49,Deficit
kapu,2023,7,1652.6,Normal
kapu,2023,8,185.0,Deficit
kapu,2023,9,259.67,Normal
kapu,2023,10,134.61,Normal
kapu,2023,11,140.85,Normal
kapu,2023,12,20.09,Normal
kapu,2024,1,17.85,Normal
kapu,2024,2,0.19,Deficit
kapu,2024,3,3.1599999999999997,Deficit
kapu,2024,4,23.64,Deficit
kapu,2024,5,233.85999999999999,Normal
kapu,2024,6,1071.54,Normal
kapu,2024,7,1631.17,Normal
kapu,2024,8,815.0699999999999,Normal
kapu,2024,9,298.81,Normal
kapu,2024,10,250.07999999999998,Normal
kapu,2024,11,36.2,Deficit
kapu,2024,12,93.64000000000001,Excess
kapu,2025,1,1.08,Deficit
kapu,2025,2,3.35,Deficit
kapu,2025,3,19.06,Deficit
kapu,2025,4,96.03,Excess
kapu,2025,5,666.9,Excess
kapu,2025,6,935.72,Normal
kapu,2025,7,1399.03,Normal
kapu,2025,8,1123.16,Normal
kapu,2025,9,147.02,Deficit
kapu,2025,10,322.62,Normal
kapu,2025,11,27.93,Deficit
kapu,2025,12,4.9799999999999995,Deficit
kapu,2026,1,11.07,Normal
kapu,2026,2,0.6000000000000001,Deficit
karkala,2020,1,4.05,Deficit
karkala,2020,2,6.109999999999999,Deficit
karkala,2020,3,14.56,Deficit
karkala,2020,4,108.17,Excess
karkala,2020,5,210.89,Normal
karkala,2020,6,1134.98,Normal
karkala,2020,7,1297.82,Normal
karkala,2020,8,1415.71,Excess
karkala,2020,9,801.0600000000001,Excess
karkala,2020,10,245.27,Normal
karkala,2020,11,53.24,Normal
karkala,2020,12,34.260000000000005,Normal
karkala,2021,1,55.86,Excess
karkala,2021,2,10.88,Normal
karkala,2021,3,32.059999999999995,Normal
karkala,2021,4,153.37,Excess
karkala,2021,5,366.23,Normal
karkala,2021,6,985.0,Normal
karkala,2021,7,1491.3,Normal
karkala,2021,8,793.23,Normal
karkala,2021,9,319.01,Normal
karkala,2021,10,456.74,Excess
karkala,2021,11,338.87,Excess
karkala,2021,12,15.67,Normal
karkala,2022,1,3.04,Deficit
karkala,2022,2,1.21,Deficit
karkala,2022,3,56.959999999999994,Excess
karkala,2022,4,140.47,Excess
karkala,2022,5,462.18,Excess
karkala,2022,6,913.12,Normal
karkala,2022,7,1664.41,Normal
karkala,2022,8,1456.53,Excess
karkala,2022,9,483.2,Normal
karkala,2022,10,199.0,Normal
karkala,2022,11,61.8,Normal
karkala,2022,12,60.54,Excess
karkala,2023,1,6.640000000000001,Deficit
karkala,2023,2,2.02,Deficit
karkala,2023,3,6.3,Deficit
karkala,2023,4,29.65,Deficit
karkala,2023,5,139.53,Deficit
karkala,2023,6,616.64,Normal
karkala,2023,7,1978.68,Excess
karkala,2023,8,233.85,Deficit
karkala,2023,9,314.42,Normal
karkala,2023,10,228.56,Normal
karkala,2023,11,210.57,Excess
karkala,2023,12,45.44,Normal
karkala,2024,1,31.48,Excess
karkala,2024,2,1.2100000000000002,Deficit
karkala,2024,3,7.4399999999999995,Deficit
karkala,2024,4,56.52,Normal
karkala,2024,5,325.95,Normal
karkala,2024,6,1233.45,Excess
karkala,2024,7,1897.63,Excess
karkala,2024,8,1078.95,Normal
karkala,2024,9,350.68,Normal
karkala,2024,10,329.79,Normal
karkala,2024,11,64.56,Normal
karkala,2024,12,130.15,Excess
karkala,2025,1,6.75,Deficit
karkala,2025,2,5.34,Deficit
karkala,2025,3,49.54,Excess
karkala,2025,4,194.94,Excess
karkala,2025,5,760.39,Excess
karkala,2025,6,1175.25,Normal
karkala,2025,7,1461.59,Normal
karkala,2025,8,1493.26,Excess
karkala,2025,9,189.19,Deficit
karkala,2025,10,452.13,Excess
karkala,2025,11,44.31,Normal
karkala,2025,12,17.49,Normal
karkala,2026,1,27.09,Normal
karkala,2026,2,1.6300000000000001,Deficit
kundapura,2020,1,3.07,Deficit
kundapura,2020,2,2.9,Deficit
kundapura,2020,3,7.02,Deficit
kundapura,2020,4,44.67,Normal
kundapura,2020,5,112.95,Deficit
kundapura,2020,6,960.55,Normal
kundapura,2020,7,1183.96,Normal
kundapura,2020,8,1161.3799999999999,Normal
kundapura,2020,9,753.86,Excess
kundapura,2020,10,251.55,Normal
kundapura,2020,11,21.0,Deficit
kundapura,2020,12,17.759999999999998,Normal
kundapura,2021,1,33.629999999999995,Excess
kundapura,2021,2,8.06,Deficit
kundapura,2021,3,11.67,Deficit
kundapura,2021,4,63.25,Normal
kundapura,2021,5,321.53000000000003,Normal
kundapura,2021,6,992.92,Normal
kundapura,2021,7,1300.81,Normal
kundapura,2021,8,622.17,Normal
kundapura,2021,9,279.29,Normal
kundapura,2021,10,268.05,Normal
kundapura,2021,11,263.49,Excess
kundapura,2021,12,13.25,Deficit
kundapura,2022,1,2.14,Deficit
kundapura,2022,2,0.74,Deficit
kundapura,2022,3,21.89,Normal
kundapura,2022,4,55.13,Normal
kundapura,2022,5,376.59000000000003,Normal
kundapura,2022,6,703.29,Normal
kundapura,2022,7,1529.65,Normal
kundapura,2022,8,1163.47,Normal
kundapura,2022,9,444.44,Normal
kundapura,2022,10,114.21,Deficit
kundapura,2022,11,34.29,Deficit
kundapura,2022,12,51.5,Normal
kundapura,2023,1,2.96,Deficit
kundapura,2023,2,1.05,Deficit
kundapura,2023,3,3.04,Deficit
kundapura,2023,4,10.48,Deficit
kundapura,2023,5,68.25999999999999,Deficit
kundapura,2023,6,489.53000000000003,Deficit
kundapura,2023,7,1684.13,Normal
kundapura,2023,8,201.89,Deficit
kundapura,2023,9,240.67,Normal
kundapura,2023,10,109.76,Deficit
kundapura,2023,11,114.67,Normal
kundapura,2023,12,18.61,Normal
kundapura,2024,1,20.23,Normal
kundapura,2024,2,0.7000000000000001,Deficit
kundapura,2024,3,2.77,Deficit
kundapura,2024,4,27.5,Deficit
kundapura,2024,5,211.28,Normal
kundapura,2024,6,1356.56,Excess
kundapura,2024,7,2006.08,Excess
kundapura,2024,8,898.94,Normal
kundapura,2024,9,282.59,Normal
kundapura,2024,10,278.84000000000003,Normal
kundapura,2024,11,25.15,Deficit
kundapura,2024,12,53.67,Normal
kundapura,2025,1,7.2700000000000005,Deficit
kundapura,2025,2,3.1,Deficit
kundapura,2025,3,17.53,Deficit
kundapura,2025,4,67.14,Normal
kundapura,2025,5,712.85,Excess
kundapura,2025,6,903.4399999999999,Normal
kundapura,2025,7,1413.15,Normal
kundapura,2025,8,1145.78,Normal
kundapura,2025,9,174.33,Deficit
kundapura,2025,10,254.6,Normal
kundapura,2025,11,20.25,Deficit
kundapura,2025,12,6.93,Deficit
kundapura,2026,1,17.46,Normal
kundapura,2026,2,0.74,Deficit
udupi,2020,1,1.67,Deficit
udupi,2020,2,4.63,Deficit
udupi,2020,3,7.22,Deficit
udupi,2020,4,56.33,Normal
udupi,2020,5,155.65,Normal
udupi,2020,6,1040.73,Normal
udupi,2020,7,1251.72,Normal
udupi,2020,8,1151.55,Normal
udupi,2020,9,718.58,Excess
udupi,2020,10,249.60999999999999,Normal
udupi,2020,11,38.08,Deficit
udupi,2020,12,18.53,Normal
udupi,2021,1,27.69,Normal
udupi,2021,2,5.3500000000000005,Deficit
udupi,2021,3,15.18,Deficit
udupi,2021,4,76.93,Normal
udupi,2021,5,311.84000000000003,Normal
udupi,2021,6,923.3,Normal
udupi,2021,7,1334.25,Normal
udupi,2021,8,849.42,Normal
udupi,2021,9,277.71999999999997,Normal
udupi,2021,10,360.87,Excess
udupi,2021,11,265.02,Excess
udupi,2021,12,4.54,Deficit
udupi,2022,1,0.59,Deficit
udupi,2022,2,0.15000000000000002,Deficit
udupi,2022,3,34.160000000000004,Normal
udupi,2022,4,82.56,Normal
udupi,2022,5,386.77,Normal
udupi,2022,6,845.11,Normal
udupi,2022,7,1495.65,Normal
udupi,2022,8,1209.25,Normal
udupi,2022,9,430.84,Normal
udupi,2022,10,133.0,Normal
udupi,2022,11,49.8,Normal
udupi,2022,12,42.94,Normal
udupi,2023,1,1.41,Deficit
udupi,2023,2,0.72,Deficit
udupi,2023,3,3.41,Deficit
udupi,2023,4,13.36,Deficit
udupi,2023,5,82.36,Deficit
udupi,2023,6,536.91,Deficit
udupi,2023,7,1877.93,Excess
udupi,2023,8,210.21,Deficit
udupi,2023,9,295.05,Normal
udupi,2023,10,152.98,Normal
udupi,2023,11,160.06,Normal
udupi,2023,12,22.85,Normal
udupi,2024,1,20.28,Normal
udupi,2024,2,0.22,Deficit
udupi,2024,3,3.5599999999999996,Deficit
udupi,2024,4,26.9,Deficit
udupi,2024,5,265.78,Normal
udupi,2024,6,1217.61,Excess
udupi,2024,7,1853.59,Excess
udupi,2024,8,926.2,Normal
udupi,2024,9,339.55,Normal
udupi,2024,10,284.18,Normal
udupi,2024,11,41.19,Normal
udupi,2024,12,106.35999999999999,Excess
udupi,2025,1,1.2200000000000002,Deficit
udupi,2025,2,3.79,Deficit
udupi,2025,3,21.68,Normal
udupi,2025,4,109.09,Excess
udupi,2025,5,757.8199999999999,Excess
udupi,2025,6,1063.28,Normal
udupi,2025,7,1589.85,Normal
udupi,2025,8,1276.34,Normal
udupi,2025,9,167.12,Deficit
udupi,2025,10,366.59,Excess
udupi,2025,11,31.74,Deficit
udupi,2025,12,5.6499999999999995,Deficit
udupi,2026,1,8.799999999999999,Deficit
udupi,2026,2,0.52,Deficit
