date,taluk,rainfall
2020-01-01,brahmavar,0.39
2020-01-02,brahmavar,0.19
2020-01-03,brahmavar,0.01
2020-01-04,brahmavar,0.0
2020-01-05,brahmavar,0.0
2020-01-06,brahmavar,0.01
2020-01-07,brahmavar,0.05
2020-01-08,brahmavar,0.15
2020-01-09,brahmavar,0.04
2020-01-10,brahmavar,0.04
2020-01-11,brahmavar,0.0
2020-01-12,brahmavar,0.0
2020-01-13,brahmavar,0.0
2020-01-14,brahmavar,0.03
2020-01-15,brahmavar,0.01
2020-01-16,brahmavar,0.03
2020-01-17,brahmavar,0.0
2020-01-18,brahmavar,0.0
2020-01-19,brahmavar,0.0
2020-01-20,brahmavar,0.01
2020-01-21,brahmavar,0.0
2020-01-22,brahmavar,0.0
2020-01-23,brahmavar,0.0
2020-01-24,brahmavar,0.0
2020-01-25,brahmavar,0.0
2020-01-26,brahmavar,0.0
2020-01-27,brahmavar,0.06
2020-01-28,brahmavar,0.25
2020-01-29,brahmavar,0.02
2020-01-30,brahmavar,0.0
2020-01-31,brahmavar,0.0
2020-02-01,brahmavar,0.0
2020-02-02,brahmavar,0.08
2020-02-03,brahmavar,0.01
2020-02-04,brahmavar,0.01
2020-02-05,brahmavar,0.01
2020-02-06,brahmavar,0.0
2020-02-07,brahmavar,0.02
2020-02-08,brahmavar,0.0
2020-02-09,brahmavar,0.0
2020-02-10,brahmavar,0.0
2020-02-11,brahmavar,0.0
2020-02-12,brahmavar,0.0
2020-02-13,brahmavar,0.0
2020-02-14,brahmavar,0.0
2020-02-15,brahmavar,0.0
2020-02-16,brahmavar,0.0
2020-02-17,brahmavar,0.0
2020-02-18,brahmavar,0.0
2020-02-19,brahmavar,0.04
2020-02-20,brahmavar,0.02
2020-02-21,brahmavar,0.04
2020-02-22,brahmavar,0.0
2020-02-23,brahmavar,0.0
2020-02-24,brahmavar,0.0
2020-02-25,brahmavar,0.01
2020-02-26,brahmavar,0.06
2020-02-27,brahmavar,0.93
2020-02-28,brahmavar,0.53
2020-02-29,brahmavar,2.01
2020-03-01,brahmavar,0.79
2020-03-02,brahmavar,1.74
2020-03-03,brahmavar,0.18
2020-03-04,brahmavar,0.0
2020-03-05,brahmavar,0.02
2020-03-06,brahmavar,0.03
2020-03-07,brahmavar,0.0
2020-03-08,brahmavar,0.0
2020-03-09,brahmavar,0.06
2020-03-10,brahmavar,0.01
2020-03-11,brahmavar,0.28
2020-03-12,brahmavar,0.04
2020-03-13,brahmavar,0.04
2020-03-14,brahmavar,0.0
2020-03-15,brahmavar,0.0
2020-03-16,brahmavar,0.04
2020-03-17,brahmavar,0.12
2020-03-18,brahmavar,0.02
2020-03-19,brahmavar,0.11
2020-03-20,brahmavar,0.03
2020-03-21,brahmavar,0.0
2020-03-22,brahmavar,0.0
2020-03-23,brahmavar,0.06
2020-03-24,brahmavar,0.16
2020-03-25,brahmavar,0.92
2020-03-26,brahmavar,0.1
2020-03-27,brahmavar,0.41
2020-03-28,brahmavar,0.21
2020-03-29,brahmavar,0.15
2020-03-30,brahmavar,0.53
2020-03-31,brahmavar,0.08
2020-04-01,brahmavar,0.0
2020-04-02,brahmavar,0.34
2020-04-03,brahmavar,0.26
2020-04-04,brahmavar,0.11
2020-04-05,brahmavar,0.68
2020-04-06,brahmavar,4.97
2020-04-07,brahmavar,7.42
2020-04-08,brahmavar,0.59
2020-04-09,brahmavar,0.17
2020-04-10,brahmavar,1.4
2020-04-11,brahmavar,1.59
2020-04-12,brahmavar,0.88
2020-04-13,brahmavar,0.48
2020-04-14,brahmavar,0.15
2020-04-15,brahmavar,1.99
2020-04-16,brahmavar,1.4
2020-04-17,brahmavar,0.79
2020-04-18,brahmavar,1.22
2020-04-19,brahmavar,2.76
2020-04-20,brahmavar,8.08
2020-04-21,brahmavar,3.3
2020-04-22,brahmavar,6.6
2020-04-23,brahmavar,0.71
2020-04-24,brahmavar,0.53
2020-04-25,brahmavar,1.44
2020-04-26,brahmavar,0.64
2020-04-27,brahmavar,0.0
2020-04-28,brahmavar,0.04
2020-04-29,brahmavar,0.28
2020-04-30,brahmavar,3.43
2020-05-01,brahmavar,0.13
2020-05-02,brahmavar,3.18
2020-05-03,brahmavar,0.83
2020-05-04,brahmavar,1.22
2020-05-05,brahmavar,0.6
2020-05-06,brahmavar,1.0
2020-05-07,brahmavar,5.31
2020-05-08,brahmavar,4.25
2020-05-09,brahmavar,0.09
2020-05-10,brahmavar,1.17
2020-05-11,brahmavar,7.18
2020-05-12,brahmavar,4.88
2020-05-13,brahmavar,2.05
2020-05-14,brahmavar,1.98
2020-05-15,brahmavar,8.67
2020-05-16,brahmavar,6.56
2020-05-17,brahmavar,9.24
2020-05-18,brahmavar,6.56
2020-05-19,brahmavar,2.86
2020-05-20,brahmavar,1.18
2020-05-21,brahmavar,2.74
2020-05-22,brahmavar,1.58
2020-05-23,brahmavar,3.48
2020-05-24,brahmavar,1.05
2020-05-25,brahmavar,1.14
2020-05-26,brahmavar,7.32
2020-05-27,brahmavar,4.96
2020-05-28,brahmavar,0.98
2020-05-29,brahmavar,1.72
2020-05-30,brahmavar,12.54
2020-05-31,brahmavar,30.29
2020-06-01,brahmavar,26.35
2020-06-02,brahmavar,40.36
2020-06-03,brahmavar,64.44
2020-06-04,brahmavar,16.93
2020-06-05,brahmavar,16.78
2020-06-06,brahmavar,5.79
2020-06-07,brahmavar,3.48
2020-06-08,brahmavar,2.09
2020-06-09,brahmavar,3.4
2020-06-10,brahmavar,84.52
2020-06-11,brahmavar,36.89
2020-06-12,brahmavar,39.76
2020-06-13,brahmavar,39.96
2020-06-14,brahmavar,61.14
2020-06-15,brahmavar,37.45
2020-06-16,brahmavar,81.54
2020-06-17,brahmavar,72.69
2020-06-18,brahmavar,24.61
2020-06-19,brahmavar,20.7
2020-06-20,brahmavar,2.2
2020-06-21,brahmavar,27.42
2020-06-22,brahmavar,31.06
2020-06-23,brahmavar,2.97
2020-06-24,brahmavar,6.87
2020-06-25,brahmavar,33.63
2020-06-26,brahmavar,8.79
2020-06-27,brahmavar,9.51
2020-06-28,brahmavar,10.73
2020-06-29,brahmavar,122.48
2020-06-30,brahmavar,15.37
2020-07-01,brahmavar,32.32
2020-07-02,brahmavar,40.06
2020-07-03,brahmavar,28.82
2020-07-04,brahmavar,46.34
2020-07-05,brahmavar,25.31
2020-07-06,brahmavar,16.35
2020-07-07,brahmavar,31.63
2020-07-08,brahmavar,78.43
2020-07-09,brahmavar,39.61
2020-07-10,brahmavar,7.11
2020-07-11,brahmavar,14.37
2020-07-12,brahmavar,12.42
2020-07-13,brahmavar,41.03
2020-07-14,brahmavar,58.41
2020-07-15,brahmavar,100.07
2020-07-16,brahmavar,43.79
2020-07-17,brahmavar,42.15
2020-07-18,brahmavar,37.83
2020-07-19,brahmavar,35.58
2020-07-20,brahmavar,15.59
2020-07-21,brahmavar,1.65
2020-07-22,brahmavar,9.93
2020-07-23,brahmavar,60.59
2020-07-24,brahmavar,16.44
2020-07-25,brahmavar,26.95
2020-07-26,brahmavar,4.01
2020-07-27,brahmavar,57.49
2020-07-28,brahmavar,13.84
2020-07-29,brahmavar,129.3
2020-07-30,brahmavar,18.76
2020-07-31,brahmavar,15.25
2020-08-01,brahmavar,27.75
2020-08-02,brahmavar,72.76
2020-08-03,brahmavar,59.02
2020-08-04,brahmavar,59.66
2020-08-05,brahmavar,105.69
2020-08-06,brahmavar,34.11
2020-08-07,brahmavar,82.74
2020-08-08,brahmavar,57.89
2020-08-09,brahmavar,57.52
2020-08-10,brahmavar,103.63
2020-08-11,brahmavar,13.32
2020-08-12,brahmavar,6.41
2020-08-13,brahmavar,3.01
2020-08-14,brahmavar,20.16
2020-08-15,brahmavar,66.65
2020-08-16,brahmavar,139.68
2020-08-17,brahmavar,40.06
2020-08-18,brahmavar,7.97
2020-08-19,brahmavar,4.39
2020-08-20,brahmavar,17.91
2020-08-21,brahmavar,5.1
2020-08-22,brahmavar,9.02
2020-08-23,brahmavar,2.67
2020-08-24,brahmavar,1.34
2020-08-25,brahmavar,0.99
2020-08-26,brahmavar,4.63
2020-08-27,brahmavar,13.5
2020-08-28,brahmavar,3.03
2020-08-29,brahmavar,11.61
2020-08-30,brahmavar,2.11
2020-08-31,brahmavar,22.6
2020-09-01,brahmavar,28.77
2020-09-02,brahmavar,40.46
2020-09-03,brahmavar,14.57
2020-09-04,brahmavar,8.51
2020-09-05,brahmavar,15.63
2020-09-06,brahmavar,39.33
2020-09-07,brahmavar,10.54
2020-09-08,brahmavar,6.93
2020-09-09,brahmavar,33.06
2020-09-10,brahmavar,21.59
2020-09-11,brahmavar,45.16
2020-09-12,brahmavar,35.19
2020-09-13,brahmavar,17.43
2020-09-14,brahmavar,4.08
2020-09-15,brahmavar,18.31
2020-09-16,brahmavar,9.26
2020-09-17,brahmavar,16.15
2020-09-18,brahmavar,17.28
2020-09-19,brahmavar,72.23
