taluk,year,month,monthly_total_rainfall,rainfall_category
brahmavar,2020,1,1.29,Deficit
brahmavar,2020,2,3.77,Excess
brahmavar,2020,3,6.13,Deficit
brahmavar,2020,4,52.25,Normal
brahmavar,2020,5,136.74,Deficit
brahmavar,2020,6,949.91,Normal
brahmavar,2020,7,1101.43,Deficit
brahmavar,2020,8,1056.93,Excess
brahmavar,2020,9,648.52,Excess
brahmavar,2020,10,225.52,Normal
brahmavar,2020,11,35.4,Deficit
brahmavar,2020,12,17.07,Deficit
brahmavar,2021,1,25.97,Excess
brahmavar,2021,2,4.82,Excess
brahmavar,2021,3,13.91,Normal
brahmavar,2021,4,68.75,Excess
brahmavar,2021,5,275.84,Normal
brahmavar,2021,6,845.44,Normal
brahmavar,2021,7,1172.4,Normal
brahmavar,2021,8,706.33,Normal
brahmavar,2021,9,255.83,Deficit
brahmavar,2021,10,322.72,Excess
brahmavar,2021,11,234.26,Excess
brahmavar,2021,12,3.63,Deficit
brahmavar,2022,1,0.31,Deficit
brahmavar,2022,2,0.08,Deficit
brahmavar,2022,3,32.17,Excess
brahmavar,2022,4,72.51,Excess
brahmavar,2022,5,354.86,Excess
brahmavar,2022,6,770.36,Normal
brahmavar,2022,7,1334.9,Normal
brahmavar,2022,8,1111.31,Excess
brahmavar,2022,9,396.44,Normal
brahmavar,2022,10,125.37,Deficit
brahmavar,2022,11,44.64,Deficit
brahmavar,2022,12,36.12,Excess
brahmavar,2023,1,1.36,Deficit
brahmavar,2023,2,0.66,Deficit
brahmavar,2023,3,2.95,Deficit
brahmavar,2023,4,12.41,Deficit
brahmavar,2023,5,73.26,Deficit
brahmavar,2023,6,480.12,Deficit
brahmavar,2023,7,1687.59,Excess
brahmavar,2023,8,187.88,Deficit
brahmavar,2023,9,268.43,Deficit
brahmavar,2023,10,142.99,Deficit
brahmavar,2023,11,143.35,Excess
brahmavar,2023,12,19.64,Deficit
brahmavar,2024,1,16.02,Excess
brahmavar,2024,2,0.13,Deficit
brahmavar,2024,3,3.48,Deficit
brahmavar,2024,4,24.92,Deficit
brahmavar,2024,5,234.12,Deficit
brahmavar,2024,6,1091.13,Excess
brahmavar,2024,7,1637.09,Normal
brahmavar,2024,8,840.9,Normal
brahmavar,2024,9,311.31,Normal
brahmavar,2024,10,243.5,Normal
brahmavar,2024,11,38.85,Deficit
brahmavar,2024,12,89.39,Excess
brahmavar,2025,1,0.83,Deficit
brahmavar,2025,2,3.81,Excess
brahmavar,2025,3,19.37,Excess
brahmavar,2025,4,100.26,Excess
brahmavar,2025,5,685.64,Excess
brahmavar,2025,6,1028.38,Excess
brahmavar,2025,7,1414.17,Normal
brahmavar,2025,8,1167.39,Excess
brahmavar,2025,9,152.65,Deficit
brahmavar,2025,10,323.76,Excess
brahmavar,2025,11,28.16,Deficit
brahmavar,2025,12,5.02,Deficit
byndoor,2020,1,3.78,Deficit
byndoor,2020,2,2.83,Normal
byndoor,2020,3,6.01,Deficit
byndoor,2020,4,40.2,Normal
byndoor,2020,5,109.66,Deficit
byndoor,2020,6,972.54,Normal
byndoor,2020,7,1281.41,Deficit
byndoor,2020,8,1266.73,Excess
byndoor,2020,9,777.1,Excess
