date,taluk,rain_lag_7,rain_lag_30,rolling_30_rain,temp,humidity,wind,pressure,month,target_monthly_rain,target_category
2020-01-31,brahmavar,0.0,0.39,1.29,23.62,76.1,1.65,97.05,1,1.29,Deficit
2020-02-01,brahmavar,0.0,0.19,0.9000000000000001,23.94,75.02,1.37,97.07,2,3.77,Deficit
2020-02-02,brahmavar,0.0,0.01,0.71,24.56,73.87,1.3,97.24,2,3.77,Deficit
2020-02-03,brahmavar,0.06,0.0,0.7799999999999999,25.01,71.38,1.4,97.21,2,3.77,Deficit
2020-02-04,brahmavar,0.25,0.0,0.7899999999999999,24.79,70.66,1.38,97.07,2,3.77,Deficit
2020-02-05,brahmavar,0.02,0.01,0.7999999999999999,24.92,72.42,1.35,97.12,2,3.77,Deficit
2020-02-06,brahmavar,0.0,0.05,0.7999999999999999,24.81,73.28,1.76,97.15,2,3.77,Deficit
2020-02-07,brahmavar,0.0,0.15,0.75,24.02,74.93,1.87,97.24,2,3.77,Deficit
2020-02-08,brahmavar,0.0,0.04,0.62,22.71,71.11,1.59,97.3,2,3.77,Deficit
2020-02-09,brahmavar,0.08,0.04,0.5800000000000001,23.26,64.98,1.2,97.2,2,3.77,Deficit
2020-02-10,brahmavar,0.01,0.0,0.54,25.25,67.37,1.19,97.11,2,3.77,Deficit
2020-02-11,brahmavar,0.01,0.0,0.54,26.32,61.16,1.56,97.09,2,3.77,Deficit
2020-02-12,brahmavar,0.01,0.0,0.54,26.06,59.85,1.61,97.25,2,3.77,Deficit
2020-02-13,brahmavar,0.0,0.03,0.54,25.6,59.81,1.51,97.22,2,3.77,Deficit
2020-02-14,brahmavar,0.02,0.01,0.51,25.66,60.09,1.05,97.09,2,3.77,Deficit
2020-02-15,brahmavar,0.0,0.03,0.5,26.05,57.96,1.35,97.08,2,3.77,Deficit
2020-02-16,brahmavar,0.0,0.0,0.47000000000000003,25.72,53.35,1.11,97.1,2,3.77,Deficit
2020-02-17,brahmavar,0.0,0.0,0.47,25.5,52.41,1.47,97.17,2,3.77,Deficit
2020-02-18,brahmavar,0.0,0.0,0.47,25.87,51.09,1.18,97.14,2,3.77,Deficit
