date,temp,humidity,wind,pressure,taluk
2020-01-01,24.89,78.86,1.07,97.17,brahmavar
2020-01-02,25.16,78.58,1.17,97.26,brahmavar
2020-01-03,24.92,79.08,1.71,97.22,brahmavar
2020-01-04,23.59,80.15,1.73,97.13,brahmavar
2020-01-05,23.74,76.61,1.15,97.03,brahmavar
2020-01-06,25.27,77.64,1.16,97.11,brahmavar
2020-01-07,25.86,73.09,0.99,97.12,brahmavar
2020-01-08,24.89,79.66,1.01,97.11,brahmavar
2020-01-09,25.06,80.86,1.46,97.1,brahmavar
2020-01-10,25.4,75.68,1.34,97.04,brahmavar
2020-01-11,25.18,71.63,1.08,97.11,brahmavar
2020-01-12,24.05,69.41,1.51,97.1,brahmavar
2020-01-13,23.67,72.05,1.34,97.02,brahmavar
2020-01-14,23.72,78.51,1.44,96.98,brahmavar
2020-01-15,23.81,78.02,1.27,97.0,brahmavar
2020-01-16,23.4,75.1,1.71,97.02,brahmavar
2020-01-17,23.3,74.16,1.8,97.06,brahmavar
2020-01-18,24.34,74.16,1.34,97.02,brahmavar
2020-01-19,25.57,73.97,1.05,97.04,brahmavar
2020-01-20,25.76,72.95,1.44,97.11,brahmavar
2020-01-21,25.52,64.48,1.26,97.16,brahmavar
2020-01-22,24.83,60.08,1.77,97.16,brahmavar
2020-01-23,25.35,62.46,1.68,97.11,brahmavar
2020-01-24,25.02,62.37,1.41,97.14,brahmavar
2020-01-25,24.81,54.94,0.91,97.17,brahmavar
2020-01-26,24.71,59.35,1.07,97.11,brahmavar
2020-01-27,24.88,73.06,1.23,97.12,brahmavar
2020-01-28,24.55,76.04,1.41,97.14,brahmavar
2020-01-29,24.28,74.37,1.47,97.24,brahmavar
2020-01-30,24.28,73.6,1.68,97.18,brahmavar
2020-01-31,23.62,76.1,1.65,97.05,brahmavar
2020-02-01,23.94,75.02,1.37,97.07,brahmavar
2020-02-02,24.56,73.87,1.3,97.24,brahmavar
2020-02-03,25.01,71.38,1.4,97.21,brahmavar
2020-02-04,24.79,70.66,1.38,97.07,brahmavar
